Entry Date,Exit Date,Days Held,Entry,Exit,Profit INR
2007-09-28,2008-01-11,105,872.59,786.06,-149993.52
2007-09-28,2008-02-08,133,155.87,157.56,17383.2
2007-09-28,2008-01-18,112,389.33,361.64,-759346.18
2007-11-16,2008-01-25,70,96.68,85.33,-1038837.65
2008-01-04,2008-01-25,21,161.96,139.69,-193242.82
2008-01-04,2008-03-07,63,4.31,3.23,-1378735.63
2008-02-29,2008-10-10,224,107.26,114.2,445189.44
2008-03-28,2008-06-27,91,171.32,147.51,-167541.8
2008-05-02,2008-06-13,42,40.41,36.24,-521686.0
2008-06-06,2008-07-18,42,162.62,126.23,-15398982.38
2008-09-12,2008-10-10,28,178.64,159.29,-113015.01
2008-12-19,2009-03-06,77,190.74,160.8,-143315.68
2009-04-17,2010-01-15,273,736.07,1247.63,890087.1
2009-05-22,2010-05-07,350,611.77,882.54,1191241.31
2009-05-22,2010-01-29,252,137.82,166.38,324247.72
2009-05-29,2010-02-05,252,62.03,68.0,1634993.24
2009-06-05,2010-01-22,231,534.29,520.29,-263517.52
2009-06-12,2010-02-26,259,36.8,44.27,851714.38
2009-06-12,2009-10-30,140,237.39,195.35,-1964488.42
2009-06-26,2009-12-18,175,194.02,194.13,-3287.03
2009-06-26,2011-02-25,609,151.41,255.2,35368120.1
2009-06-26,2010-11-26,518,148.94,244.75,6379207.27
2009-06-26,2010-02-05,224,114.62,120.99,152017.44
2009-07-17,2011-01-07,539,1.58,5.86,10945244.05
2009-07-17,2010-05-21,308,148.65,248.55,1189399.2
2009-07-24,2011-02-11,567,60.73,144.43,5015340.59
2009-08-07,2010-02-05,182,35.13,35.38,17577.79
2009-08-28,2009-10-09,42,361.43,285.11,-1992729.67
2009-09-18,2010-05-07,231,32.28,34.8,1576.7
2009-11-13,2010-05-07,175,129.49,136.49,387073.06
2010-03-12,2011-01-14,308,77.86,89.16,2739831.47
2010-03-19,2011-02-04,322,49.81,60.5,1079366.3
2010-04-09,2010-05-07,28,148.3,132.88,-344298.84
2010-06-18,2011-01-07,203,635.83,657.3,235297.24
2010-07-16,2010-12-10,147,200.91,224.16,213250.05
2010-07-16,2011-06-17,336,293.57,395.61,1016217.8
2010-08-13,2011-01-14,154,150.2,155.24,80514.27
2010-09-10,2011-01-07,119,42.75,43.04,13838.09
2010-09-17,2011-02-25,161,168.27,187.46,903073.52
2010-09-17,2011-01-28,133,210.48,205.21,-22195.54
2011-04-01,2011-11-25,238,72.17,77.87,460454.64
2011-04-15,2011-09-23,161,310.26,313.21,32700.04
2011-04-22,2011-08-19,119,186.83,183.82,-182761.0
2011-06-03,2013-01-11,588,240.38,395.9,460090.19
2011-07-01,2011-09-30,91,223.58,209.13,-639592.63
2011-07-01,2011-08-26,56,109.56,96.13,-2841404.83
2011-09-23,2013-02-01,497,1097.68,1744.13,2281183.69
2011-10-28,2011-11-25,28,50.53,44.27,-1053980.91
2011-12-02,2014-03-14,833,241.07,532.09,10276054.44
2012-02-03,2012-07-27,175,51.35,52.48,120612.65
2012-02-03,2013-03-22,413,7.15,11.39,8786313.44
2012-02-10,2012-06-01,112,113.34,107.4,-1116000.86
2012-02-17,2012-05-18,91,1179.8,1041.51,-265957.49
2012-02-24,2012-04-13,49,456.67,384.16,-651513.27
2012-03-09,2012-06-08,91,224.01,198.66,-999750.54
2012-03-16,2013-01-11,301,87.55,112.94,1904692.6
2012-05-04,2012-12-07,217,459.12,462.65,8908.63
