Entry Date,Exit Date,Days Held,Entry,Exit,Profit INR
2009-09-11,2010-05-21,252,109.3,133.24,137467.09
2009-09-18,2010-06-04,259,66.25,89.91,857594.68
2009-12-25,2010-02-05,42,110.78,98.42,-172248.48
2010-02-26,2010-07-30,154,1026.02,1089.27,111802.13
2010-02-26,2010-11-19,266,123.27,133.15,58212.26
2010-04-23,2010-06-25,63,65.35,60.57,-141879.04
2010-05-14,2010-11-12,182,51.83,44.03,-372224.22
2010-06-25,2010-11-26,154,102.19,101.5,-33594.66
2010-07-09,2010-11-26,140,154.45,161.63,489519.76
2010-08-06,2010-11-19,105,69.61,64.07,-141665.43
2010-09-10,2011-02-25,168,161.5,177.12,71479.37
2010-09-24,2010-11-19,56,69.27,62.11,-2137699.97
2010-10-01,2010-11-26,56,115.59,93.42,-647046.62
2010-12-03,2011-02-04,63,335.08,293.49,-591026.71
2010-12-10,2011-08-05,238,73.38,75.96,46110.66
2010-12-24,2011-02-11,49,74.91,65.41,-2320413.16
2011-03-04,2011-08-19,168,52.92,48.15,-192636.54
2011-03-11,2011-11-25,259,162.32,177.03,20070.2
2011-05-20,2011-11-18,182,253.06,267.98,289127.16
2011-06-03,2011-08-05,63,98.98,87.67,-439596.92
2011-07-01,2011-12-09,161,200.75,190.8,-669798.19
2011-07-01,2011-08-19,49,35.38,32.43,-77495.76
2011-07-29,2011-08-19,21,131.69,108.84,-208099.45
2011-08-19,2011-12-16,119,1267.27,1246.24,-45059.73
2011-09-09,2011-12-23,105,129.42,130.77,234488.14
2011-09-16,2011-10-07,21,54.91,49.18,-200462.34
2011-11-04,2011-11-11,7,152.21,138.79,-77553.15
2012-01-27,2012-03-09,42,314.79,280.18,-458678.8
2012-02-03,2015-09-25,1330,158.5,1647.8,407835584.21
2012-02-10,2012-07-20,161,206.06,211.19,231147.2
2012-02-24,2012-05-11,77,37.44,33.2,-94526.78
2012-03-02,2013-02-08,343,61.45,81.66,528296.2
2012-03-02,2012-06-01,91,305.19,300.25,-105556.39
2012-03-23,2012-07-06,105,196.05,188.92,-10527.65
